date,steps,min_temp ,max_temp,rainfall,evaporation,sunshine ,wind_gust_dir,wind_gust_speed,wind_gust_time,temp_9am,humidity_9am,cloud_9am,wind_dir_9am,wind_speed_9am,pressure_9am,temp_3pm,humidity_3pm,cloud_3pm,wind_dir_3pm,wind_speed_3pm,pressure_3pm
2025-01-06,8056,19.9,34.4,0,,,E,31,13:56,28.5,52,,ESE,6,,32.9,36,,E,22,
2025-01-07,5877,20,22.2,13.2,,,SSE,44,16:07,20,83,,SSE,19,,20.7,83,,S,13,
2025-01-08,4726,17.9,20.4,3,,,S,41,11:00,20.2,67,,S,15,,17.6,95,,S,13,
2025-01-09,5224,16.5,24.3,40.2,,,SE,39,12:43,20,89,,SSW,11,,22.3,78,,SSE,20,
2025-01-10,4902,19.3,26.3,0.2,,,NNE,35,10:22,23.3,85,,SE,7,,25.8,71,,E,15,
2025-01-11,4717,19.2,28.3,23.4,,,E,35,14:18,22.1,90,,SSE,6,,25.5,71,,ESE,22,
2025-01-12,5224,18.7,29.3,0,,,NNE,37,17:15,24.5,68,,WNW,6,,28.3,56,,E,13,
2025-01-13,6708,20.8,30.8,0,,,E,30,17:03,23.8,79,,WNW,7,,30.7,56,,ENE,11,
2025-01-14,5239,21.9,31.1,0,,,E,28,14:02,25,82,,NW,7,,30.2,59,,E,17,
2025-01-15,4948,21.8,32.9,0,,,WNW,69,19:17,25.8,74,,NW,6,,31.5,58,,ENE,17,
2025-01-16,5626,18.7,21.8,39.4,,,SSE,44,14:53,18.7,89,,SSW,17,,19.9,71,,S,19,
2025-01-17,6669,17.8,21.4,11.8,,,SSE,72,15:10,19.1,63,,S,20,,20.4,65,,S,20,
2025-01-18,4967,17.4,24.8,11.4,,,SSE,52,0:40,20.6,89,,SSE,20,,24.4,72,,SE,28,
2025-01-19,6249,17.2,24,5.2,,,ESE,43,23:06,21.3,59,,SSE,13,,20.8,61,,SSE,20,
2025-01-20,6959,14.4,25.6,0,,,ESE,30,13:15,20.4,65,,WSW,7,,24.1,52,,E,17,
2025-01-21,5424,15,27,0,,,ENE,33,16:56,20.4,71,,NW,2,,26.7,55,,E,19,
2025-01-22,9213,18.8,37.6,0.4,,,,,,22.6,76,,NW,6,,27.1,62,,SSE,31,
2025-01-23,10033,19.9,24.9,,,,S,31,0:43,21.9,60,,SSE,15,,22.6,61,,SE,13,
2025-01-24,7110,18.4,25.9,0.2,,,SSE,50,15:03,22.2,68,,WSW,6,,24.2,53,,SSE,26,
2025-01-25,10246,17.3,27.7,0,,,E,31,17:04,22.7,61,,E,4,,26.7,53,,NE,13,
2025-01-26,11736,18.8,27.4,0,,,E,37,15:46,23.5,78,,SSE,13,,26.9,62,,ESE,24,
2025-01-27,8060,23.3,35.2,0,,,SSW,63,18:10,25.9,70,,NE,9,,32.7,53,,E,17,
2025-01-28,9446,21.6,41.6,13.4,,,SSE,72,16:18,29.3,70,,,Calm,,41.3,22,,WSW,9,
2025-01-29,8294,17.9,24.9,5.6,,,SE,26,16:15,21.3,71,,SW,9,,24.3,63,,ESE,13,
2025-01-30,4147,19.4,24.7,1.2,,,SSE,28,20:38,20.5,97,,NW,6,,24.2,72,,SE,11,
2025-01-31,7195,20.3,25.7,0.2,,,SSE,30,23:36,22.7,75,,SE,13,,25,63,,SSE,17,
2025-02-01,8005,19.8,27.3,0,,,ESE,31,14:56,23.7,75,,SE,13,,26.6,58,,E,22,
2025-02-02,7021,18.3,28.2,0,,,E,31,15:17,24.9,68,,,Calm,,27.2,49,,E,19,
2025-02-03,12189,19.2,30.4,0,,,E,37,15:40,24.7,69,,ENE,2,,29.1,54,,E,17,
2025-02-04,6824,20.2,31.5,0,,,ESE,30,13:33,25.6,72,,ENE,6,,30.8,57,,E,17,
2025-02-05,4575,21.8,32,0,,,SE,43,12:45,27.4,69,,NW,7,,27.6,61,,SSE,15,
2025-02-06,6740,20.5,28.2,0.2,,,SE,28,10:30,25.1,71,,W,4,,27.6,63,,E,15,
2025-02-07,7197,20.2,31.6,0,,,E,37,14:16,25.1,77,,,Calm,,29.9,53,,E,19,
2025-02-08,3506,20.7,30.2,0,,,E,30,12:31,24.8,72,,NNE,7,,29.3,50,,E,19,
2025-02-09,3269,19.5,28.9,8.8,,,SE,33,14:07,23.3,78,,SW,7,,27.6,60,,SSE,17,
2025-02-10,4812,22,25.5,0,,,WNW,35,11:20,24.3,74,,SSE,13,,20.1,88,,NW,11,
2025-02-11,7356,17.3,27.6,36.8,,,E,31,13:27,22.4,78,,SSE,6,,24.4,70,,E,15,
2025-02-12,7004,18.6,27.7,0,,,E,35,14:27,23.2,76,,S,9,,26.9,60,,E,20,
2025-02-13,4797,21.4,29.6,0,,,NE,41,15:05,25.5,73,,N,9,,28.8,60,,NE,17,
2025-02-14,6626,22,26.8,0,,,ENE,22,17:13,26.1,72,,WNW,7,,25.1,81,,ENE,7,
2025-02-15,2347,20,28.8,11,,,E,30,12:56,22.9,69,,S,11,,25.8,59,,E,17,
2025-02-16,5248,14.3,22.1,0,,,S,39,8:36,17.5,52,,SW,15,,21.4,38,,SE,19,
2025-02-17,14252,12.4,23.8,0,,,ESE,35,15:37,17.5,52,,W,9,,22.3,45,,ESE,20,
2025-02-18,7823,12.9,27.5,0,,,E,26,16:41,17.9,68,,WNW,6,,26.2,44,,E,11,
2025-02-19,4109,15.9,26.9,0,,,E,31,14:01,21,77,,WNW,2,,26.2,54,,ESE,17,
2025-02-20,3090,19.3,23,0,,,SSE,33,6:55,20,80,,SE,7,,22.3,65,,SSE,19,
2025-02-21,3044,17.9,24.5,0,,,E,30,14:03,20.9,68,,SSW,9,,22.5,78,,E,17,
2025-02-22,2662,19.8,28.5,4.6,,,NE,37,17:24,22.4,80,,E,6,,26.9,58,,ENE,13,
2025-02-23,6162,16.7,30.6,0,,,ESE,28,13:05,21.2,80,,WNW,6,,29.1,52,,E,13,
2025-02-24,10353,20.6,27.8,0.2,,,ESE,37,13:34,24.4,75,,NW,6,,25.5,67,,ESE,24,
2025-02-25,9601,20.4,23.2,0.2,,,SSE,28,10:43,20.6,89,,SSW,7,,22.8,69,,SE,15,
2025-02-26,7216,18.7,29.3,0.2,,,NE,31,16:14,22.3,77,,,Calm,,28.1,65,,NE,11,
2025-02-27,6556,21.1,30,0.2,,,E,31,16:19,24.1,82,,N,6,,29.6,59,,E,17,
2025-02-28,5440,19.7,36.1,0,,,SE,33,21:27,24.2,78,,WNW,7,,35.9,33,,ENE,9,
2025-03-01,7576,22.3,30.4,0,,,ESE,30,14:36,23.5,74,,S,6,,29.6,60,,ESE,19,
2025-03-02,8149,21,27.2,0,,,SSE,35,16:26,24,84,,S,9,,23.6,82,,SSE,15,
2025-03-03,5832,21.1,24.9,0,,,S,41,16:50,22.4,74,,SSW,13,,24.5,66,,S,17,
2025-03-04,3719,19.1,26.3,6.8,,,SSE,43,8:14,23,84,,SE,11,,24.7,62,,SE,20,
2025-03-05,6571,18.4,26.6,9.2,,,ESE,31,16:15,21.2,94,,WSW,6,,25.2,57,,ESE,19,
2025-03-06,2194,18.7,26.7,0.6,,,E,39,12:29,22.5,83,,ESE,6,,25.2,61,,SSE,20,
2025-03-07,1924,19.5,26.1,0.4,,,ESE,37,12:35,22.5,78,,SSE,9,,25.6,54,,ESE,22,
2025-03-08,2762,19.1,25.5,0.4,,,E,33,23:47,21.5,89,,W,4,,25.1,63,,E,20,
2025-03-09,1111,20.8,28.4,1.6,,,NE,31,11:33,22.3,88,,SW,6,,27.2,54,,NE,17,
2025-03-10,2535,19.3,27.3,0.2,,,NE,31,11:16,23.8,77,,NE,7,,25.7,67,,N,9,
2025-03-11,1627,20.8,23.9,10.8,,,ESE,28,15:16,21.3,99,,W,4,,23.9,79,,ENE,7,
2025-03-12,3071,19.4,27.7,3,,,E,22,15:27,20.8,97,,WNW,6,,27.1,59,,NE,9,
2025-03-13,7824,18.4,31.5,0,,,E,24,15:12,21,93,,WNW,6,,30.1,54,,ENE,11,
2025-03-14,3988,19.1,34,0,,,NE,24,16:04,22.4,94,,NNW,6,,32.7,52,,E,13,
2025-03-15,4542,22.3,34.5,0,,,E,24,14:04,25.4,79,,WNW,7,,31.2,61,,E,15,
2025-03-16,2751,21.7,37.6,0,,,NW,39,14:02,25.9,84,,,Calm,,37.3,25,,WNW,19,
2025-03-17,6266,16.8,21.3,0,,,SE,43,23:58,18.5,47,,SSW,13,,20.8,40,,SSE,19,
2025-03-18,1960,13.4,24.3,0,,,E,26,14:39,17,66,,WNW,6,,23.6,49,,E,11,
2025-03-19,7172,16.4,29.5,0,,,NE,35,18:01,19.3,86,,NW,6,,27.5,57,,E,17,
2025-03-20,7600,19.3,30.7,0,,,E,30,14:53,22.1,77,,NW,6,,29.7,57,,E,17,
2025-03-21,4470,19.6,29.3,0,,,SSE,26,19:09,21.8,87,,NNW,9,,26,71,,NW,11,
2025-03-22,6232,20.8,26.4,0.6,,,SE,26,15:47,21.1,81,,SW,6,,25.9,64,,E,15,
2025-03-23,10776,20.7,22.1,21.4,,,SSE,15,23:03,21,99,,W,6,,21.9,89,,S,7,
2025-03-24,3404,20.1,25.7,4,,,ESE,20,15:30,21.1,99,,,Calm,,24.3,71,,NE,6,
2025-03-25,11918,19.8,26.2,0,,,SE,28,10:49,21.8,97,,,Calm,,25.7,62,,E,13,
2025-03-26,3831,19.4,27.8,2.2,,,E,26,14:37,21.1,98,,NNW,6,,26.6,56,,E,11,
2025-03-27,3551,17.4,26.5,0,,,E,28,13:44,19.8,94,,WNW,4,,25.6,64,,E,20,
2025-03-28,2247,18.4,26.2,5.2,,,ENE,28,11:49,20.4,98,,S,4,,24.5,70,,ENE,9,
2025-03-29,2292,19.1,21.9,27.4,,,W,26,21:43,19.8,99,,SSE,9,,20.2,98,,W,11,
2025-03-30,1462,18.7,24.9,21.8,,,SE,44,13:05,20.1,89,,SW,9,,24.7,69,,S,24,
2025-03-31,4500,18,24.5,11.8,,,S,50,13:04,19.7,81,,WSW,11,,23,62,,S,24,
2025-04-01,2674,17.7,23.7,0,,,SSE,41,12:25,19.2,71,,SW,11,,22.5,57,,SSE,17,
2025-04-02,3108,14.6,24.8,0,,,E,24,16:04,16.2,78,,WSW,6,,24.1,42,,E,7,
2025-04-03,7760,13.4,27.5,0,,,SSW,28,12:24,16.4,96,,WNW,7,,27.1,34,,WSW,13,
2025-04-04,2456,13.9,26.1,0,,,ESE,28,13:42,17.7,87,,WNW,7,,24.6,63,,ESE,15,
2025-04-05,6743,14,26.6,0,,,ESE,33,14:44,16.9,80,,WNW,6,,25.9,29,,SSE,13,
2025-04-06,2196,13.2,27.1,0,,,NNW,26,11:40,20.1,69,,WNW,13,,26.7,22,,ESE,6,
2025-04-07,7405,13.3,27.4,0,,,SW,26,10:01,21.7,47,,WNW,13,,26.5,34,,SSW,11,
2025-04-08,3656,16.6,22.6,0,,,ESE,26,14:05,18,74,,W,6,,21.3,63,,ESE,15,
2025-04-09,4530,16.8,23.6,3.2,,,ESE,26,13:25,19.5,84,,SE,6,,22.7,63,,E,13,
2025-04-10,3764,14.4,24.7,0.2,,,ESE,20,14:32,19.1,92,,WNW,7,,23.9,67,,ESE,11,
2025-04-11,4853,14.8,29.6,0,,,SSE,26,16:35,21.8,78,,WNW,7,,27.5,51,,E,15,
2025-04-12,5095,15.8,25.9,0,,,ESE,30,13:26,23.1,68,,,Calm,,24.8,67,,ESE,17,
2025-04-13,2365,16.2,26.6,0,,,E,24,15:45,21.8,82,,WSW,6,,26,52,,NE,9,
2025-04-14,11561,15.1,28.9,0.2,,,S,46,14:08,21.1,83,,NW,7,,24,63,,SSE,26,
2025-04-15,3263,17.5,22.9,1.6,,,S,43,12:20,18.9,80,,SSW,9,,18,78,,SE,22,
2025-04-16,5019,16.6,22.5,0,,,SSE,33,16:06,19.2,59,,SW,11,,22,56,,SSE,19,
2025-04-17,3257,15.7,24.4,2,,,S,37,13:34,19.8,73,,W,9,,22.6,54,,SE,20,
2025-04-18,2749,12.7,25.5,0.2,,,SE,20,14:47,19.7,66,,W,7,,24,55,,ESE,15,
2025-04-19,3410,13.2,30.7,0,,,NE,22,16:39,19.3,70,,WNW,13,,30.1,29,,NNW,9,
2025-04-20,5133,12.3,30.6,0,,,E,22,16:06,22.6,58,,WNW,6,,28.9,33,,E,13,
2025-04-21,5125,16.1,28.1,0,,,SW,26,12:55,22.8,57,,W,11,,25,49,,SSE,13,
2025-04-22,3881,13.3,23.9,0.2,,,SSW,37,10:31,20.1,71,,WSW,9,,22.1,69,,SSE,22,
2025-04-23,2584,17.9,24.2,16.8,,,ESE,48,3:39,22.3,73,,ESE,15,,23.4,66,,E,20,
2025-04-24,7873,15.4,24.2,2.4,,,E,26,13:03,20.7,81,,SSE,7,,23.2,64,,E,17,
2025-04-25,1231,16.2,23.1,4.6,,,WNW,17,9:29,16.8,99,,WNW,9,,21.5,87,,,Calm,
2025-04-26,1006,15,24.1,3.4,,,E,30,21:42,18.3,99,,W,6,,23.3,70,,E,11,
2025-04-27,2641,17,21.4,26,,,S,35,16:15,18.3,100,,WNW,6,,21.3,72,,SSE,13,
2025-04-28,7771,16.6,22.1,6,,,SSW,37,11:13,19.5,84,,WSW,4,,21.5,72,,SSE,13,
2025-04-29,6339,13.8,24.6,0.8,,,SE,26,13:02,19.3,77,,WNW,7,,19.6,85,,SSE,13,
2025-04-30,8176,15.2,18.3,8.2,,,SSE,35,10:43,16.4,86,,SSW,11,,16.1,77,,WSW,13,
2025-05-01,8866,12.2,19.5,5.6,,,S,43,13:42,15.5,72,,SSW,9,,17.4,66,,SSW,13,
2025-05-02,5397,10.6,20.3,18,,,ESE,28,12:56,13.9,99,,W,7,,19.8,62,,S,11,
2025-05-03,4196,10.6,22.2,0.8,,,ESE,20,12:52,14,86,,NW,6,,21.4,46,,E,11,
2025-05-04,3645,10.9,22.8,0.2,,,E,20,13:59,16.9,77,,WNW,9,,21.9,64,,NE,7,
2025-05-05,3284,14.2,24.9,1.2,,,N,20,11:00,19.6,90,,NW,6,,24.2,52,,NE,6,
2025-05-06,2191,13.2,26.6,0.2,,,W,17,14:53,17.4,97,,WNW,9,,26.1,37,,WNW,9,
2025-05-07,10603,13.4,27.1,0,,,NW,19,11:25,17.1,94,,,Calm,,26.2,44,,NNW,11,
2025-05-08,5749,12.8,19.1,0,,,,,,17.4,60,,SW,9,,18.7,54,,SE,17,
2025-05-09,5321,11,18.9,0,,,SE,28,12:04,14.8,62,,WSW,9,,18.4,70,,SE,7,
2025-05-10,5253,11.4,22.3,1,,,ESE,22,15:54,17.1,88,,WNW,7,,19.9,62,,ESE,13,
2025-05-11,5036,12.9,21.6,0.2,,,E,20,13:38,16.6,91,,W,6,,20.9,68,,E,7,
2025-05-12,3001,16.5,21.5,3.2,,,E,15,15:49,17.8,99,,,Calm,,21.2,75,,ENE,6,
2025-05-13,3884,14.6,23.2,0,,,N,19,12:10,17.6,100,,WNW,6,,20.2,85,,SE,6,
2025-05-14,7773,14.7,24.3,1.8,,,E,19,14:47,16.7,99,,NW,6,,22.5,68,,E,11,
2025-05-15,2649,13.6,19.9,0.8,,,SE,22,14:22,15.9,96,,W,6,,17.5,92,,SW,2,
2025-05-16,3119,15.6,21.7,18.8,,,SE,17,13:27,16.6,99,,W,6,,19.5,82,,ESE,7,
2025-05-17,1922,12.8,22.4,1,,,ESE,24,14:24,15.9,100,,NW,9,,20.8,62,,SE,11,
2025-05-18,1808,12.9,16.5,1.6,,,S,41,16:09,14,88,,WSW,6,,16,61,,SW,9,
2025-05-19,2616,12.5,17.9,23.2,,,SSE,50,13:14,15.9,65,,SE,15,,16.7,66,,SSE,17,
